Name,Price,URL,Version,Color,CPU,Ram,Storage,Graphics,Display,Battery
"Surface Laptop 3 13.5""",15.990.000,https://thinkpro.vn/laptop/surface-laptop-3-135-6323,I7 16GB 512GB,Black,"Intel Intel 10th, 4C/8T",16GB LPDDR4X 3733MHz,256GB (M.2 NVMe),Intel Iris Plus Graphics,"13.5inches, 2256 x 1504px, 60Hz",45.8WHr Li-ion
HP ProBook 440 G8,12.690.000,https://thinkpro.vn/laptop/hp-probook-440-g8-6331,"i5 1135G7, FHD
8GB, 256GB",Sliver,"Intel Intel 11th, 4C/8T",8GB DDR4 3200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 1920 x 1080px, 60Hz",45WHr Li-Polymer
Dell XPS 13 9310,25.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-5732,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",32GB LPDDR4X 4266MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",Dung lượng pin:
Lenovo ThinkPad X1 Carbon Gen 7,15.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7-6435,"i7 8565, FHD
16GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Lenovo ThinkBook 16 G4+,23.490.000,https://thinkpro.vn/laptop/lenovo-thinkbook-16-g4-6546,"i5 12500H, RTX 2050, QHD+ 120Hz,
16GB, 512GB",Mineral Gray,"Intel Intel 12th, 12C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16inches, 2560 x 1600px, 120Hz",71WHr Li-Polymer
Lenovo ThinkPad X1 Extreme Gen 4 (Intel),35.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-4-intel-6293,"i7 11800H, RTX3050Ti, QHD+
32GB, 1TB",Đen,"Intel Intel 11th, 8C/16T",32GB DDR4 3200MHz,1024GB (M.2 NVMe),Intel UHD Graphics,"16inches, 2560 x 1600px, 60Hz",90WHr Li-Polymer
HP Victus 15 (2022),15.390.000,https://thinkpro.vn/laptop/hp-victus-15-2022-6157,"i5 12450H, GTX1650, FHD 144Hz
8GB, 512GB",Blacks,"Intel Intel 12th, 8C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6inches, 1920 x 1080px, 144Hz",52.5WHr Li-Polymer
LG Gram 16 2 in 1 2021,21.990.000,https://thinkpro.vn/laptop/lg-gram-16-2-in-1-2021-5195,"i7 1165G7, QHD+
16GB, 512GB",Black,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16inches, 2560 x 1600px, 60Hz",80WHr Li-on
Lenovo ThinkPad X1 Carbon Gen 8,24.790.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-8-6558,"i7 10610, FHD Touch, LTE
16, 1TB",Black,"Intel Intel 10th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell Inspiron 14 7420 2 in 1,15.990.000,https://thinkpro.vn/laptop/dell-inspiron-14-7420-2-in-1-6453,"i5 1235U, FHD+
8GB, 512GB",Silver,"Intel Intel 12th, 10C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 1920 x 1200px, 60Hz",54WHr Li-Polymer
Lenovo ThinkPad X1 Carbon Gen 10,29.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-10-6027,"i5 1240P
16GB, 512GB",Black,"Intel Intel 12th, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 2240 x 1400px, 60Hz",57WHr Li-Polymer
Lenovo ThinkPad X1 Extreme Gen 3,24.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-3-2840,"i7 10750H, GTX 1650Ti, FHD
 16GB, 512GB",Black,"Intel Intel 10th, 6C/12T",16GB DDR4 2933MHz,512GB (M.2 NVMe),Intel UHD Graphics,"15.6inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Dell XPS 13 Plus 9320,31.990.000,https://thinkpro.vn/laptop/dell-xps-13-plus-9320-6329,,Platium Silver,"Intel Intel 12th, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 3456 x 2160px, 60Hz",55WHr Li-Polymer
Lenovo ThinkPad X1 Carbon Gen 6,12.390.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-6-6390,"i5 8250U, FHD
8GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD 620,"14inches, 2560 x 1440px, 60Hz",Dung lượng pin:
Lenovo ThinkPad T14s Gen 2 (Intel) (Vỏ kim loại),24.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-2-intel-6591,"i7 1165G7, FHD
16GB, 512GB",Platium Silver,"Intel Core i7 1185G7, 4C/8T",16GB LPDDR4 4264MHz,512GB (,,"14inches, 1920 x 1080px, 60Hz",57WHr
Lenovo ThinkPad X1 Nano (20UN0008US),23.990.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-4335,"i5 1130G7
16GB, 1TB",Black,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"13inches, 2160 x 1350px, 60Hz",Dung lượng pin:
Lenovo ThinkPad X1 Carbon Gen 6,14.290.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-6-6250,"i5 8250U, FHD
8GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB LPDDR3 2133MHz,1024GB (M.2 NVMe),Intel UHD 620,"14inches, 2560 x 1440px, 60Hz",57WHr Li-Polymer
