CPU,Display,Graphics,ImgURL,Name,Price,Ram,Status,Storage,URL
"
R7 - 5800H
","15.6"" OLED 100%DCI-P3","
AMD Radeon Graphics
",https://laptop88.vn/media/product/pro_poster_7533.jpg,[New 100%] Laptop Asus Vivobook M1503QA-L1044W  - AMD Ryzen 7 - 5800H | 15.6 Inch Full HD | OLED,16.190.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-vivobook-asus-m1503qa-l1044w-amd-ryzen-7-5800h-15.6-inch-full-hd-oled.html
"
i5-13500H
","14""  WUXGA (1920 x 1200)",Intel UHD Graphics,https://laptop88.vn/media/product/pro_poster_8062.jpg,[New 100%] Laptop  Asus Vivobook S 14 Flip TP3402VA-LZ031W - Intel Core  i5-13500H | 14 Inch WUXGA ,20.390.000 đ,16GB DDR4,New 100%,SSD 512GB M.2 NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-flip-tp3402va-lz031w-intel-core-i5-13500h-14-inch-wuxga.html
Intel Core i7-1260p,14 inch 2.8K 100% sRGB,Intel Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_7450.jpg,[New 100%] Laptop Lenovo Ideapad 5 Pro 14IAP7 82SH002UVN - Intel core i7-1260p | 16GB | 14 Inch 2.8K,Liên Hệ,16GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lenovo-ideapad-5-pro-14iap7-82sh002uvn-intel-core-i7.html
12th Gen Intel Core i5,"16.0"" WQXGA","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7357.jpg,[New 100%] Laptop LG Gram 2022 16ZD90Q-G.AX51A5 - Intel Core i5- Gen 12th | 16 Inch 2K 99% DCI-P3,25.990.000 đ,8GB LPDDR5,New 100%,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-16zd90q-g.ax51a5-intel-core-i5-16-inch-2k-99-dci-p3.html
"
12th Gen Intel Core i5
","16.0"" WQXGA","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/7326_444.jpg,[New 100%] Laptop LG Gram 2022 16ZD90Q-G.AX55A5 - Intel Core i5- Gen 12th | 16 Inch 2K 99% DCI-P3,24.590.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lg-gram-2022-16zd90q-g.ax55a5-intel-core-i5-gen-12th-16-inch-2k-99-dci-p3.html
i5 - 1240p,"15.6"" Full HD IPS",Intel Iris Xe,https://laptop88.vn/media/product/pro_poster_7392.jpg,[New 100%] Laptop HP Pavilion 15 EG2058TU 6K788PA / EG2084TU 7C0Q6PA  / EG2085TU 7C0Q7PA  - Intel Core i5-1240P | 15.6 Inch Full HD [2022],14.790.000 đ,8GB DDR4,New 100%,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2058tu-6k788pa-intel-core-i5-1240p-15.6-inch-full-hd.html
i5 - 1235U,"15.6"" Full HD ",2G_MX550,https://laptop88.vn/media/product/pro_poster_7843.jpg,[New 100%] Laptop  HP Pavilion 15-eg2065TX 7C0Q3PA  - Intel Core i5 - 1235U | MX550 | 15.6 Inch Full HD,17.690.000 đ,8GB DDR4,,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2065tx-intel-core-i5-1235u-15.6-inch-full-hd.html
Core i5-1135G7,"15.6"" Full HD",NVIDIA MX350 2GB,https://laptop88.vn/media/product/pro_poster_7015.jpg,[New 100%] Dell Inspiron 3511 - Intel Core i5 | Geforce MX350,Liên Hệ,8GB DDR4 ,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-dell-inspiron-3511-intel-core-i5.html
i7-1165G7,"15 "" FHD OLED",Intel Iris Xe,https://laptop88.vn/media/product/pro_poster_8185.jpg,[New Outlet] Asus Vivobook 15 K513EA | Intel core i7-1165G7 | 16GB | 1TB | 15.6 inch Full HD OLED,15.990.000 đ,16GB DDR4,New Outlet,SSD 1TB NVMe,https://laptop88.vn/new-outlet-asus-vivobook-15-k513e-intel-core-i7-1165g7-16gb-1tb-15.6-inch-full-hd-oled.html
i3 - 1215U,"14"" Full HD","
Intel UHD Graphics
",https://laptop88.vn/media/product/7767_ac_hp_pavilion_14_dv2069tu.jpg,[New 100%] Laptop HP Pavilion 14-dv2069TU 7C0P1PA - Intel Core i3 - 1215U | 14 Inch Full HD,12.890.000 đ,8GB DDR4,New 100%,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2069tu-7c0p1pa-intel-core-i3-1215u-14-inch-full-hd.html
i5 - 1240P,"15.6"" Full HD ",Intel Iris Xe,https://laptop88.vn/media/product/pro_poster_7839.jpg,[New 100%] Laptop HP Pavilion 15-eg2083TU 7C0W9PA | eg2082TU 7C0Q5PA | Intel Core i5 - 1240P | 15.6 Inch Full HD,15.990.000 đ,8GB DDR4,New 100%,SSD 512GB,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2083tu-7c0w9pa-intel-core-i5-1240p-15.6-inch-full-hd.html
i3 - 1215U,"14"" Full HD ",Intel UHD / Iris XE,https://laptop88.vn/media/product/7727_6502263_sd_44bd7da51cf14e11970e9801051b54e8.png,[New Outlet] Laptop HP Pavilion x360 2 in 1 14-ek0013dx 691L0UA - Intel Core i3 - 1215U | 14 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/moi-99-full-box-laptop-hp-pavilion-x360-2-in-1-14-ek0013dx-691l0ua-intel-core-i3-1215u-14-inch-full-hd.html
i3 - 1215U,"15.6"" Full HD ",Intel UHD Graphics,https://laptop88.vn/media/product/pro_poster_7837.jpg,[New 100%] Laptop HP Pavilion 15-eg2086TU 7C0Q8PA | 15-eg2087TU 7C0Q9PA | Intel Core i3 - 1215U | 15.6 Inch Full HD,12.890.000 đ,8GB DDR4,,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-15-eg2086tu-intel-core-i3-1215u-15.6-inch-full-hd.html
i7 - 1195G7,"14"" Full HD",Intel Iris Xe,https://laptop88.vn/media/product/pro_poster_7860.jpg,[New 100%] Laptop MSI Modern 14 B11MOU 1065VN - Intel Core i7-1195G7 | Full HD,Liên Hệ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-msi-14-b11mou-1065vn-intel-core-i7.html
Intel Core i5-1240p,"14"" 2K OLED 100% SRGB",Intel Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_7419.jpg,[New 100%] Laptop Asus Zenbook UX3402ZA-KM219W (2022) - Intel Core i5 1240P,Liên Hệ,16GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-zenbook-ux3402za-km219w-intel-core-i5-1240p.html
"
Core i5-1155G7
","14.0"" Full HD 60Hz",Nvidia MX450 2GB,https://laptop88.vn/media/product/pro_poster_6830.jpg,[New 100%] Laptop MSI Modern 14 B11SBU 668VN - Intel Core i5 ,Liên Hệ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-msi-modern-14-b11sbu-668vn-intel-core-i5.html
"
Core i5-12450H
","15.6"" Full HD 144Hz",Nvidia RTX 3050,https://laptop88.vn/media/product/pro_poster_7007.jpg,[New 100%] Laptop Asus TUF Dash 2022 F15 FX517ZC-HN079W - Intel Core i5 12450H | RTX 3050 | RAM 8GB DDR5,20.790.000 đ,8GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-dash-2022-f15-intel-core-i5-12450h-rtx-3050-white.html
"
Core i5-1235U
","15.6"" Full HD","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7397.jpg,[New 100%] Laptop Acer Aspire 5 A515-57-52Y2 - Intel Core i5-1235U | 15.6 Inch Full HD [2022],Liên Hệ,8GB DDR4,,SSD 512GB,https://laptop88.vn/moi-100-full-box-laptop-acer-aspire-5-a515-57-52y2-intel-core-i5-1235u-15.6-inch-full-hd.html
i5 - 1235U,"14"" Full HD","
Intel UHD Graphics
",https://laptop88.vn/media/product/pro_poster_7769.jpg,[New 100%] Laptop HP Pavilion 14-dv2074TU 7C0P3PA - Intel Core i5 - 1235U | 14 Inch Full HD,15.990.000 đ,8GB DDR4,New 100%,SSD 512GB NMVe,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2074tu-intel-core-i5-1235u-14-inch-full-hd.html
i5 - 1235U,"14"" Full HD","
Intel UHD Graphics
",https://laptop88.vn/media/product/pro_poster_7772.jpg,[New 100%] Laptop HP Pavilion 14-dv2077TU 7C0W3PA / dv2076TU 7C0P4PA - Intel Core i5 - 1235U | 14 Inch Full HD,14.990.000 đ,8GB DDR4,New 100%,SSD 256GB NMVe,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2077tu-intel-core-i5-1235u-14-icnh-full-hd.html
"
Core i3-10110U
","14.0"" Full HD","
Card Intel UHD Graphics
",https://laptop88.vn/media/product/pro_poster_6691.jpg,[New 100%] Laptop Asus Expert Book P2451FA-BV3022 / BV2790  - Intel Core i3,Liên Hệ,4GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-p2451fa-bv3022-intel-core-i3.html
"
Core i5 11320H
","13.3"" 2K","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_7375.jpg,[New 100%] Laptop Dell Inspiron 5310 - Intel Core i5 11320H | 16GB | 13.3 inch 2K,16.390.000 đ,16GB DDR4,New 100%,SSD 512GB,https://laptop88.vn/moi-99-refurbished-laptop-dell-inspiron-5310-w9t21-intel-core-i5-11320h.html
"
Core i5-1135G7
","15.6"" Full HD AMOLED","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/pro_poster_6975.jpg,[New Outlet] Laptop Samsung Galaxy Book Pro 15 950XDB-KB2US | 950XDB-KC4US | 950XDB-KE6  - Intel Core i5-1135G7 | 15.6 inch AMOLED,15.990.000 đ,8GB LPDDR4,New Outlet,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-samsung-galaxy-book-pro-intel-core-i5.html
i5 - 1235U,"14"" Full HD","
Intel UHD Graphics
",https://laptop88.vn/media/product/pro_poster_7770.jpg,[New 100%] Laptop HP Pavilion 14-dv2075TU 7C0W2PA - Intel Core i5 - 1235U | 14 Inch Full HD,15.990.000 đ,8GB DDR4,New 100%,SSD 512GB NMVe,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2075tu-intel-core-i5-1235u-14-inch-full-hd.html
i5-1335U,"14"" Full HD Touch",Intel Iris Xe,https://laptop88.vn/media/product/pro_poster_5117.jpg,[New 100%] Laptop HP Envy X360 2 in 1 14-es0013dx 7H9Y4UA - Intel Core i5-1335U | 14 inch Full HD Touch,15.990.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-hp-envy-x360-13-i5.html
i3 - 1215U,"14"" Full HD","
Intel UHD Graphics
",https://laptop88.vn/media/product/pro_poster_7768.jpg,[New 100%] Laptop HP Pavilion 14-dv2070TU 7C0V9PA - Intel Core i3 - 1215U | 14 Inch Full HD,12.890.000 đ,8GB DDR4,New 100%,SSD 256GB,https://laptop88.vn/moi-100-full-box-laptop-hp-pavilion-14-dv2070tu-intel-core-i3-1215u-14-inch-full-hd.html
i5 - 12500H,"15.6"" Full HD 120Hz",Nvidia RTX 3050,https://laptop88.vn/media/product/pro_poster_7627.jpg,[New 100%] Laptop Lenovo IdeaPad Gaming 3 15IAH7 82S900V3VN - Intel Core i5 - 12500H | RTX 3050 4GB | 15.6 Inch Full HD 120Hz,19.690.000 đ,16GB DDR4,New 100%,SSD 512GB NMVe,https://laptop88.vn/moi-100-full-box-laptop-lenovo-ideapad-gaming-3-15iah7-82s900v3vn-intel-core-i5-12500h-rtx-3050-4gb-15.6-inch-full-hd-120hz.html
"
Core i5-11400H
","15.6"" Full HD 144Hz","
Nvidia RTX 3050
",https://laptop88.vn/media/product/pro_poster_6646.jpg,[New 100%] Laptop ASUS TUF Gaming 2021 FX506HCB-HN144W - Intel Core i5,19.490.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-laptop-asus-tuf-gaming-2021-fa506qr-az003t-intel-core-i5.html
i5 - 12500H,"15.6"" WQHD, 165Hz",Nvidia RTX 3060,https://laptop88.vn/media/product/pro_poster_7489.jpg,[New 100%] Laptop Lenovo Legion 5 15IAH7H 82RB0048VN 2022 - Intel Core i5 - 12500H | RTX 3060 | 15.6 inch WQHD,27.990.000 đ,16GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lenovo-legion-5-15iah7h-82rb0048vn-intel-core-i5-12500h-rtx-3050ti-15.6-inch-wqhd.html
"
AMD R7-6800H
","15.6"" Full HD 144Hz","
Nvidia RTX 3050
",https://laptop88.vn/media/product/pro_poster_7017.jpg,[New 100%] Asus ROG Strix 2022 G15 G513RC HN038W - AMD Ryzen 7 6800H | RTX 3050 4GB | RAM 8GB DDR5,24.690.000 đ,8GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-asus-rog-strix-2022-g15-g513rc-hn038w-amd-ryzen-7-6800h-rtx-3050-4gb.html
"
Core i5-10300H
","15.6"" Full HD 144Hz",Geforce GTX 1650,https://laptop88.vn/media/product/6925__m___i_100__full_box__laptop_asus_tuf_gaming_f15_fx506lh_hn188w___intel_core_i5.png,[New 100%] Laptop Asus TUF Gaming F15 FX506LHB-HN188W - Intel Core i5,15.490.000 đ,8GB DDR4 ,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-f15-fx506lh-hn188w-intel-core-i5.html
"
R7 - 5825U
",16 inch Full HD+,"
AMD Radeon Graphics
",https://laptop88.vn/media/product/7382_ac___laptop_dell_inspiron_16_5625___amd_ryzen_5_5625u.jpg,Laptop Cũ Dell Inspiron 16 5625 | AMD Ryzen 7-5825U | 16GB | 16 inch Full HD+,16.690.000 đ,16GB DDR4,Used,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-dell-inspiron-16-5625-amd-ryzen-5-5625u-16-inch-full-hd-2022.html
i3 - 1005G1,15.6 Inch HD,Intel UHD Grapchis,https://laptop88.vn/media/product/6719_6518_hp_250_g8_389x8pa_1.jpg,[New 100%] Laptop HP 250 G8 2R9H2EA  - Intel Core i3,8.990.000 đ,4GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-hp-250-g8-intel-core-i3.html
i5 - 1240P,"14"" FHD IPS 100% sRGB",Intel Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_7831.jpg,[New Outlet] Laptop Acer Swift 3 SF314-512-52MZ - Intel Core i5 - 1240P | 14 Inch Full HD IPS 100%sRGB,13.290.000 đ,16GB LPDDR4X,New Outlet,SSD 512GB,https://laptop88.vn/moi-100-full-box-laptop-acer-swift-3-sf314-512-52mz-intel-core-i5-1240p-14-inch-full-hd-ips.html
"
R5-7530U
",14.0 Inch WUXGA ,"
AMD Radeon Graphics
",https://laptop88.vn/media/product/8041_12533_asus_vivobook_s_14_flip_tn3402ya_7.jpg,[New 100%] Laptop Asus Vivobook S 14 Flip TN3402YA-LZ026W - AMD Ryzen 5-7530U | 14 Inch WUXGA,17.890.000 đ,16GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-flip-tn3402ya-lz026w-amd-ryzen-5-7530u-14-inch-wuxga.html
"
 i7-1360P
","14.0"" 2.8K OLED","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/8042_12532_asus_zenbook_14_oled_ux3402va__5.jpg,[New 100%] Laptop Asus Zenbook 14 OLED UX3402VA-KM068W - Intel Core i7-1360P | 14 Inch 2.8K OLED,29.990.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-zenbook-14-oled-ux3402va-km068w-intel-core-i7-1360p-14-inch-2.8k-oled.html
i5-1145G7,"13.3"" Full HD",Iris Xe Graphics,https://laptop88.vn/media/product/pro_poster_7042.jpg,[New Outlet] Laptop Dell Latitude 7320 - Intel Core i5,16.990.000 đ,16GB DDR4,New Outlet,SSD 256GB,https://laptop88.vn/moi-99-refurbished-laptop-dell-latitude-7320-intel-core-i5.html
"
 i5-1340P
",14.0 inch OLED WQXGA+,"
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/8038_untitled_1.jpg,[New 100%] Laptop Asus Zenbook 14 OLED UX3402VA-KM085W - Intel Core i5-1340P | 14 inch OLED WQXGA+,25.990.000 đ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-zenbook-14-oled-ux3402va-km085w-intel-core-i5-1340p-14-inch-oled-wqxga.html
"
  i5-1340P
","14.0"" 2.8K OLED","
Intel Iris Xe Plus Graphics
",https://laptop88.vn/media/product/8044_12529_asus_zenbook_14_flip_oled_up3404_7.jpg,[New 100%] Laptop  Asus Zenbook 14 Flip OLED UP3404VA-KN038W - Intel Core I5-1340P | 14 inch 2.8K OLED,27.490.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-zenbook-14-flip-oled-up3404va-kn038w-intel-core-i5-1340p-14-inch-2.8k-oled.html
"
i7-13700HX
","16.0"" QHD+ 120Hz",Nvidia RTX 4060 8GB,https://laptop88.vn/media/product/8032_nb123b0q4_2.png,[New 100%] Laptop MSI Creator Z16 HX Studio B13VFTO 063VN | Intel Core  i7-13700HX | RTX 4060 8GB | 16 Inch QHD+ 120Hz,64.990.000 đ,32GB DDR5,New 100%,SSD 2TB NVMe,https://laptop88.vn/new-100-laptop-msi-creator-z16-hx-studio-b13vfto-062vn-intel-core-i7-13700hx-rtx-4060-8gb-16-inch-qhd-120hz.html
"
  I5-13500H
",14” WQXGA+ OLED,"
RTX 3050 4GB GDDR6
",https://laptop88.vn/media/product/8045_8020_2.jpg,[New 100%] Laptop  ASUS VivoBook Pro 14 OLED K3405VC-KM006W - Intel Core I5-13500H | 14.5 Inch  OLED WQXGA+,27.690.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-pro-14-oled-k3405vc-km006w-intel-core-i5-13500h-14.5-inch-oled-wqxga.html
R7 - 5825U,16'' Full HD+,AMD Radeon Graphics,https://laptop88.vn/media/product/8047_untitled_4.jpg,[New Outlet] Laptop Dell Inspiron 16 5625-G1MYY - AMD Ryzen 7 - 5825U | 16 Inch Full HD+,Liên Hệ,16GB DDR4,,SSD 1TB NMVe,https://laptop88.vn/new-outlet-laptop-dell-inspiron-16-5625-g1myy-amd-ryzen-7-5825u-16-inch-full-hd.html
"
Intel Core i5-12450H
","15.6"" Full HD 144Hz",Geforce RTX 3050,https://laptop88.vn/media/product/8057_7008_dsc08938__1_.jpg,Laptop Cũ Asus TUF Dash 2022 F15 FX517ZC - Intel Core i5 12450H | RTX 3050 ,21.690.000 đ,8GB DDR5 ,Used,SSD 512GB NVMe,https://laptop88.vn/new-outlet-laptop-asus-tuf-dash-2022-f15-fx517zc-intel-core-i5-12450h-rtx-3050.html
"
 i7-1360P
","14.0"" 2.8K OLED","
Intel Iris Xe Plus Graphics
",https://laptop88.vn/media/product/8043_12531_asus_zenbook_14_flip_oled_up3404_silver__7.jpg,[New 100%] Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN039W - Intel Core  i7-1360P | 14 inch 2.8K OLED,31.490.000 đ,16GB LPDDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-zenbook-14-flip-oled-up3404va-kn039w-intel-core-i7-1360p-14-inch-2.8k-oled.html
"
i9-13900H
","13.4"" QHD+ 165Hz",GeForce RTX 4050 6GB,https://laptop88.vn/media/product/8061_44733_laptop_asus_rog_flow_z13_gz301vu_mu301w__5.jpg,[New 100%] Laptop Asus ROG Flow Z13 GZ301VU MU301W - Intel Core i9 - 13900H | RTX 4050 6GB | 13.4 Inch QHD+ Touch,53.990.000 đ,16GB LPDDR5 ,,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-rog-flow-z13-gz301vu-mu301w-intel-core-i9-13900h-rtx-4050-6gb-13.4-inch-qhd-ips.html
"
i9-13900H
","14""  WUXGA (1920 x 1200)",Intel UHD Graphics,https://laptop88.vn/media/product/8063_,[New 100%] Laptop Asus Vivobook S 14 Flip TP3402VA-LZ118W - Intel Core i9-13900H | 14 Inch WUXGA,24.990.000 đ,16GB DDR4,New 100%,SSD 512GB M.2 NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-s-14-flip-tp3402va-lz118w-intel-core-i9-13900h-14-inch-wuxga.html
"
i7-13700H
","16"" Full HD+ 144Hz","
NVIDIA  RTX 4050 6GB
",https://laptop88.vn/media/product/8034_12387_msi_creator_m16_b13v_2.jpg,[New 100%] Laptop MSI Creator M16 B13VE 830VN - Intel Core i7-13700H | RTX4050 6GB | 16 Inch Full HD+ 144Hz,37.990.000 đ,16GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-msi-creator-m16-b13ve-830vn-intel-core-i7-13700h-rtx4050-6gb-16-inch-full-hd-144hz.html
"
i5-1340P
","14""  OLED WQXGA+",Intel Iris Xe Graphics,https://laptop88.vn/media/product/8064_44620_laptop_asus_zenbook_14_oled_ux3402va_km203w_90nb10g6_m00970__6_.jpg,[New 100%] Laptop Asus Zenbook 14 OLED UX3402VA-KM203W | Intel Core i5-1340P | 14 Inch OLED WQXGA+,26.490.000 đ,16GB LPDDR5,New 100%,SSD 512GB M.2 NVMe,https://laptop88.vn/new-100-laptop-asus-zenbook-14-oled-ux3402va-km203w-intel-core-i5-1340p-14-inch-oled-wqxga.html
"
i5-1335U 
","
15.6""  Full HD
",Intel Iris Xe Graphics,https://laptop88.vn/media/product/8065_44632_laptop_asus_vivobook_15_x1504va_nj070w.jpg,[New 100%] Laptop Asus Vivobook 15 X1504VA-NJ070W - Intel Core i5-1335U | 15.6 Inch FHD,17.690.000 đ,16GB DDR4,New 100%,SSD 512GB M.2 NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-15-x1504va-nj070w-intel-core-i5-1335u-15.6-inch-fhd.html
R7 - 7730U,"14"" FHD 100% sRGB",AMD Radeon Graphics,https://laptop88.vn/media/product/8068_ideapad_slim_5_light_14abr8_ct2_04__1_.jpg,[New 100%] Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 82XS0007VN | AMD Ryzen 7-7730U | 14 inch Full HD 100% sRGB,18.290.000 đ,8GB LPDDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-lenovo-ideapad-slim-5-light-14abr8-82xs0007vn-amd-ryzen-7-7730u-14-inch-full-hd-100-srgb.html
R5-5730U,"14"" FHD 100% sRGB",AMD Radeon Graphics,https://laptop88.vn/media/product/8069_ideapad_slim_5_light_14abr8_ct2_03__1_.jpg,[New 100%] Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 82XS0006VN  | AMD Ryzen 5-5730U | 14 inch Full HD 100% sRGB,16.490.000 đ,8GB LPDDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-lenovo-ideapad-slim-5-light-14abr8-82xs0006vn-amd-ryzen-5-5730u-14-inch-full-hd-100-srgb.html
"
 i9-13900H
","14.5"" WQ + OLED","
Nvidia RTX 4050 
",https://laptop88.vn/media/product/8037____nh_1.jpg,[New 100%] Laptop Asus Zenbook Pro 14 Duo OLED UX8402VU P1028W - Intel Core i9-13900H | RTX 4050| 14.5 Inch WQ+OLED,65.990.000 đ,32GB LPDDR5,,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-zenbook-pro-14-duo-oled-ux8402vu-p1028w-intel-core-i9-13900h-rtx-4050-14.5-inch-wq-oled.html
i5-1135G7,15.6'' Full HD Touch,Intel Iris Xe,https://laptop88.vn/media/product/8049_6642_21521_laptop_dell_inspiron_3511_p112f001fbl_1.jpg,[New 100%] Laptop Dell Inspiron 15 3511 HKM4W - Intel Core i5-1135G7 | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB,https://laptop88.vn/new-100-laptop-dell-inspiron-15-3511-hkm4w-intel-core-i5-1135g7-15.6-inch-full-hd.html
"
Intel Core i5-11400H
","15.6"" Full HD 144Hz","
Nvidia GTX 1650
",https://laptop88.vn/media/product/8083_5809_anb_msi_gf63_thin_11sc_664vn.jpg,[New Outlet] Laptop Gaming MSI GF63 Thin 11SC 664VN - Intel Core i5-11400H | GTX 1650 | 144Hz,14.490.000 đ,8GB DDR4,New Outlet,SSD 512GB NVMe,https://laptop88.vn/new-outlet-laptop-msi-gf63-thin-11sc-664vn-intel-core-i5-11400h-gtx-1650-144hz.html
"
i5-13500HX
","16"" 2K+, 165Hz 100% sRGB",Nvidia RTX 4050 6GB,https://laptop88.vn/media/product/8106_45073_4.jpg,[New 100%] Laptop Acer Predator Helios Neo PHN16-71-54CD | Intel Core i5-13500HX | RTX 4050 6GB | 16 Inch 2K+ 165Hz 100% sRGB,34.990.000 đ,8GB DDR5,,SSD 512GB NMVe,https://laptop88.vn/new-100-laptop-acer-predator-helios-neo-phn16-71-54cd-intel-core-i5-13500hx-rtx4050-6gb-16-inch-2k.html
"
 i5 - 1340P
","14.0"" Full HD+ ","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/8073_,[New 100%] Laptop Dell Inspiron 14 5430 R1605S | Intel Core  i5 - 1340P | 14 Inch Full HD+,17.990.000 đ,16GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-dell-inspiron-14-5430-r1605s-intel-core-i5-1340p-14-inch-full-hd.html
i9-13900HX,"16"" 2K 240Hz 100% DCI-P3",NVIDIA RTX 4060,https://laptop88.vn/media/product/pro_poster_8080.jpg,[New 100%] Laptop Dell Gaming G16 7630 R1948W - Intel Core i9-13900H | RTX 4060 | 16 inch 2K  240Hz 100% DCI-P3,47.990.000 đ,16GB DDR5,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-dell-gaming-g16-7630-r1948w-intel-core-i9-13900h-rtx-4060-16-inch-2k-240hz-100-dci-p3.html
R7 - 7730U,"14"" FHD 100% sRGB",AMD Radeon Graphics,https://laptop88.vn/media/product/pro_poster_8067.jpg,[New 100%] Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 82XS002JVN | AMD Ryzen 7-7730U | 16GB RAM | 14 inch Full HD 100% sRGB,17.990.000 đ,16GB LPDDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-lenovo-ideapad-slim-5-light-14abr8-82xs002jvn-amd-ryzen-7-7730u-16gb-ram-14-inch-full-hd-100-srgb.html
"
 i3-1115G4
","14"" FHD ",Intel UHD Graphics,https://laptop88.vn/media/product/8071_8028_12391_msi_modern_15_b12m_3.jpg,[New 100%] Laptop MSI Modern 14 C11M-011VN | Intel Core  i3-1115G4 | 14 Inch Full HD,11.490.000 đ,8GB DDR4,New Outlet,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-msi-modern-14-c11m-011vn-intel-core-i3-1115g4-14-inch-full-hd.html
